uid,name,subcounty_uid,subcounty,district_uid,district,region_uid,region,hflevel,ownership
G51dLKvQTxh,David Fagerlee's Medical Centre,nXAQOdNQCIo,Adilang Town Council,ztIyIYAzFKp,Agago District,SUvODYOcaVf,Acholi,HC II,PNFP
y8q1syPdfdK,Dr. Ambrosoli Memorial Hospital Kalongo,RXwynIETRuW,Kalongo Town Council,ztIyIYAzFKp,Agago District,SUvODYOcaVf,Acholi,General Hospital,PNFP
ldVk8civU6m,St. Janani Health Centre II,l7uazBwTNHf,Lira Palwo Town Council,ztIyIYAzFKp,Agago District,SUvODYOcaVf,Acholi,HC II,PNFP
aFgrVHVDqoZ,Amuru Lacor Health Centre III,acwO6ZCWJj7,Amuru Subcounty,C0RSe3EWBqU,Amuru District,SUvODYOcaVf,Acholi,HC III,PNFP
OJYXXSC87rV,Oberabic Health Centre II,acwO6ZCWJj7,Amuru Subcounty,C0RSe3EWBqU,Amuru District,SUvODYOcaVf,Acholi,HC II,PNFP
KSVxJfpwdlo,Ayiko International Hospital,ftLtvhHg24p,Atiak Subcounty,C0RSe3EWBqU,Amuru District,SUvODYOcaVf,Acholi,General Hospital,PNFP
VdSMFKnHeyT,Mother Health International Health Centre II,ftLtvhHg24p,Atiak Subcounty,C0RSe3EWBqU,Amuru District,SUvODYOcaVf,Acholi,HC II,PNFP
r6JsqcaIqQh,Sacred Heart Health Centre II,ftLtvhHg24p,Atiak Subcounty,C0RSe3EWBqU,Amuru District,SUvODYOcaVf,Acholi,HC II,PNFP
AJxamlmKn2x,Keyo Health Centre II,COaxzbRhsBA,Lamogi Subcounty,C0RSe3EWBqU,Amuru District,SUvODYOcaVf,Acholi,HC II,PNFP
UZYxp87I4oX,Keyo Medical Health Centre II,COaxzbRhsBA,Lamogi Subcounty,C0RSe3EWBqU,Amuru District,SUvODYOcaVf,Acholi,HC II,PFP
FNTxj1oKTQd,Lacor-Pabbo Health Centre III,zWPYifWT74s,Pabo Town Council,C0RSe3EWBqU,Amuru District,SUvODYOcaVf,Acholi,HC III,PNFP
goyzaXgJl7C,Pabo Medical and Maternity Clinic,zWPYifWT74s,Pabo Town Council,C0RSe3EWBqU,Amuru District,SUvODYOcaVf,Acholi,Clinic,PFP
AbgTvK9gyhA,Care Plus Medical Centre,xN3BZZ5MtYs,Bar-Dege Layibi Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,HC II,PFP
Az3dr4kZboc,Charity Medical Centre,xN3BZZ5MtYs,Bar-Dege Layibi Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,HC II,PFP
