DataElement Name,CategoryOptionCombo Name,dataElement UID,categoryOptionCombo UID,attributeOptionCombo
105-FP13. Female condoms,"New, <15Yrs",Onpo1O1A7jr,ksBfihkwBeu,Lf2Axb9E6B4
105-FP13. Female condoms,"New, 15-19Yrs",Onpo1O1A7jr,BhgBkEr8t85,Lf2Axb9E6B4
105-FP13. Female condoms,"New, 20-24Yrs",Onpo1O1A7jr,HWLodA23UGt,Lf2Axb9E6B4
105-FP13. Female condoms,"New, 25-49Yrs",Onpo1O1A7jr,CvQdPZAFY4k,Lf2Axb9E6B4
105-FP13. Female condoms,"New, 50+Yrs",Onpo1O1A7jr,z5ewc0K90Q8,Lf2Axb9E6B4
105-FP13. Female condoms,"Revisits, <15Yrs",Onpo1O1A7jr,HTMSuJ2wUcx,Lf2Axb9E6B4
105-FP13. Female condoms,"Revisits, 15-19Yrs",Onpo1O1A7jr,YpZHGtTSv2K,Lf2Axb9E6B4
105-FP13. Female condoms,"Revisits, 20-24Yrs",Onpo1O1A7jr,BhfsRQm30RP,Lf2Axb9E6B4
105-FP13. Female condoms,"Revisits, 25-49Yrs",Onpo1O1A7jr,nAjAOWdxMh8,Lf2Axb9E6B4
105-FP13. Female condoms,"Revisits, 50+Yrs",Onpo1O1A7jr,UrCqRbuJiSe,Lf2Axb9E6B4
105-FP21. Total family planning users,"New, <15Yrs",DivdIXHxiik,ksBfihkwBeu,Lf2Axb9E6B4
105-FP21. Total family planning users,"New, 15-19Yrs",DivdIXHxiik,BhgBkEr8t85,Lf2Axb9E6B4
105-FP21. Total family planning users,"New, 20-24Yrs",DivdIXHxiik,HWLodA23UGt,Lf2Axb9E6B4
105-FP21. Total family planning users,"New, 25-49Yrs",DivdIXHxiik,CvQdPZAFY4k,Lf2Axb9E6B4
105-FP21. Total family planning users,"New, 50+Yrs",DivdIXHxiik,z5ewc0K90Q8,Lf2Axb9E6B4
105-FP21. Total family planning users,"Revisits, <15Yrs",DivdIXHxiik,HTMSuJ2wUcx,Lf2Axb9E6B4
105-FP21. Total family planning users,"Revisits, 15-19Yrs",DivdIXHxiik,YpZHGtTSv2K,Lf2Axb9E6B4
105-FP21. Total family planning users,"Revisits, 20-24Yrs",DivdIXHxiik,BhfsRQm30RP,Lf2Axb9E6B4
105-FP21. Total family planning users,"Revisits, 25-49Yrs",DivdIXHxiik,nAjAOWdxMh8,Lf2Axb9E6B4
105-FP21. Total family planning users,"Revisits, 50+Yrs",DivdIXHxiik,UrCqRbuJiSe,Lf2Axb9E6B4
105-FP23. Male condoms,"New, <15Yrs",sRYEkgvxmWA,ksBfihkwBeu,Lf2Axb9E6B4
105-FP23. Male condoms,"New, 15-19Yrs",sRYEkgvxmWA,BhgBkEr8t85,Lf2Axb9E6B4
105-FP23. Male condoms,"New, 20-24Yrs",sRYEkgvxmWA,HWLodA23UGt,Lf2Axb9E6B4
105-FP23. Male condoms,"New, 25-49Yrs",sRYEkgvxmWA,CvQdPZAFY4k,Lf2Axb9E6B4
105-FP23. Male condoms,"New, 50+Yrs",sRYEkgvxmWA,z5ewc0K90Q8,Lf2Axb9E6B4
105-FP23. Male condoms,"Revisits, <15Yrs",sRYEkgvxmWA,HTMSuJ2wUcx,Lf2Axb9E6B4
105-FP23. Male condoms,"Revisits, 15-19Yrs",sRYEkgvxmWA,YpZHGtTSv2K,Lf2Axb9E6B4
105-FP23. Male condoms,"Revisits, 20-24Yrs",sRYEkgvxmWA,BhfsRQm30RP,Lf2Axb9E6B4
105-FP23. Male condoms,"Revisits, 25-49Yrs",sRYEkgvxmWA,nAjAOWdxMh8,Lf2Axb9E6B4
105-FP23. Male condoms,"Revisits, 50+Yrs",sRYEkgvxmWA,UrCqRbuJiSe,Lf2Axb9E6B4
105-FP07. 5-year Implant,"New, <15Yrs",pGndkat5h9s,ksBfihkwBeu,Lf2Axb9E6B4
105-FP07. 5-year Implant,"New, 15-19Yrs",pGndkat5h9s,BhgBkEr8t85,Lf2Axb9E6B4
105-FP07. 5-year Implant,"New, 20-24Yrs",pGndkat5h9s,HWLodA23UGt,Lf2Axb9E6B4
